x,name,county,state,Notes,Type,Alternate,Date,Latitude (N),Longitude (W),,,
bowli,Bowling Green Tavern,,Virginia?,near Richmond,placeName,,,,,,,
bradf,Bradford,,Pennsylvania,,placeName,,,41.5733,78.3841,,,
brady,Brady's Tavern,,Pennsylvania,"near Milton, PA",placeName,,,,,,,
brmill,Brandy Wine River Mills,,Delaware?,"near Wilmington, DE",placeName,,,,,,,
brand,Brandywine Creek,,Pennsylvania,,geogName,,,39.4355,75.3153,,,
bridg,Bridgeport,,Pennsylvania,,placeName,,,40.0614,75.2035,,,
bridg1,Bridgetown,,,,placeName,,,,,,,
bridw,Bridgewater,,New York,,placeName,Bridge Water,,,,,,
brist,Bristol,,Pennsylvania,,placeName,Buckingham,,40.0612,74.5105,,,
brist2,Bristol,,England,,placeName,,,,,,,
brit,British Dominions,,,,placeName,,,,,,,
broab,Broad Bay,,Maine,,geogName,,,44.0246,69.4108,,,
broam,Broad Mountain,,,,geogName,,,,,,,
broke,Brokenstraw Creek,,Pennsylvania,"runs 37 miles from Chataqua County, NY to Allegheny River in Warren County, PA",geogName,Broken Straw,,41.508,79.1534,,,
brook,Brookeville,,Maryland,,placeName,,,,,,,
brook1,Brooklyn,,New York,,placeName,,,,,,,
broth,Brothertown,,New York,,placeName,"Brothertown Settlement, Waterville, Brotherton",,42.9312,75.3799,,,
browt,Browns Town,,,,placeName,the Rock,,,,,,
brown,Brownsville,,Pennsylvania,,placeName,,,40.022106,79.88,,,
bruns,Brunswick,,New York,,placeName,,,42.735912,73.561504,,,
buckt,Buck Tavern,,Pennsylvania,still standing about 1/4 mile from Haverford College and very near Haverford Meeting House,placeName,,,,,,,
bucki,Buckingham,,Pennsylvania,,placeName,,,40.3451,75.04,,,
buckm,Buckingham Meeting house,,Pennsylvania,,placeName,,,40.346919,75.031874,,,
bucks,Bucks County,,Pennsylvania,,placeName,,,40.34,75.11,,,
buffa,Buffalo,,New York,,placeName,"New Amsterdam, Buffalo Town",,42.5417,78.5058,,,
buffc1,Buffalo Creek,,New York,,geogName,Buffaloe Creek,,42.870007,78.788602,,,
buffc,Buffalo Creek Village,,New York,,placeName,"Main Village at Buffalo Creek, Buffalo Creek Reservation",,42.8625,78.6625,,,
buffr,Buffalo River,,New York,"Mouth is Lake Erie, runs 8 miles ",geogName,,,42.86298,78.853297,,,
burle,Burleigh,,North Carolina,Located in Surry County,placeName,,,,,,,
burli,Burlington,,New Jersey,,placeName,,,40.071,74.864,,,
burli2,Burlington,,,On the Mississippi,placeName,,,,,,,
burli3,Burlington,,Ontario,,,,,,,,,
bush,Bush,,Virginia?,,placeName,,,,,,,
butav,Butavia,,,,placeName,,,,,,,
buttf,Buttermilk Falls,,,,geogName,,,,,,,
byber,Byberry,Montgomery County,Pennsylvania,,,,,,,,,
cacam,Cacapon Mountain,,,,geogName,Capon,,,,,,
caerb,Caernarvon Bay,,,,geogName,,,,,,,
caln,Caln,,Pennsylvania,Chester County,placeName,,,39.5925,75.4648,,,
calns,Caln Station,,Pennsylvania,Pennsylvania Railroad,placeName,,,,,,,
calvi,Calvin's Hill,,,,,,,,,,,
camde,Camden,,Maine,,placeName,,,44.1235,69.0353,,,
camco,Camden County,,North Carolina,,placeName,,,36.34,76.16,,,
camva,Camden Valley,,New York,,,,,,,,,
canad,Canada,,,,placeName,,,,,,,
canaj,Canajoharie,,New York,,placeName,,,,,,,
canan,Canandaigua,,New York,,placeName,"Canadaqua, Canadockway, Canandarque, Canadocwey, Canandarqua",,42.8875 ,77.281667,,,
canan,Canandaigua,,New York,,placeName,,,,,,,
canla,Canandaigua Lake,,New York,,geogName,,,42.792929,77.29294,,,
canas,Canaseraga Creek,,New York,,geogName,,,43.049033,75.841134,,,
canaw,Canawaugus,,New York,,placeName,"Canawagus, Canawaugus Reservation, Cannawagas",,42.94095,77.76476,,,
canis,Canisteo River,,,,geogName,"Conosteer Creek, Canistiere River",,,,,,
canto,Canton,,Indiana,,placeName,,,,,,,
capte,Captena,,,,geogName,,,,,,,
carma,Carmarthen,,Wales,,placeName,"Hermarthan, Carmarthan",,,,,,
carte,Carterstown,Berks County,Pennsylvania,"on the Schuylkill, near Reading, PA",,Carters Town;Carters Tavern;Hamburg;Kaerchertown,,,,,,
castl,Castleton,,England,,placeName,,,,,,,
catar,Cataraugus River,,,,geogName,Cattaraugus,,,,,,
catha,Catharine's Town,,New York,,placeName,"Catherene’s Town, Watkins Glen, Catherines",,42.35 ,76.833333,,,
catswamp,Catherine's Swamp,,New York,,geogName,,,,,,,
catom,Catoctin Mountain,,Maryland,,geogName,,,,,,,
catsk1,Catskill,,New York,,placeName,Katskill,,42.2173,73.8646,,,
catsk2,Catskill Creek,,New York,"Runs 46 miles, mouth is as Hudson River",geogName,Katskill Creek,,42.2226,73.86945,,,
catmo,Catskill Mountains,,New York,,geogName,,,,,,,
catta1,Cattaraugus,,New York,,placeName,"Cateraugarus, Cataraugus, Catauraugurus",,42.1948,78.5156,,,
catta2,Cattaraugus Creek,,New York,,geogName,,,,,,,
