x,name,county,state,Notes,Type,Alternate,Date,Latitude (N),Longitude (W),,,
genes,Genesee Village,,New York,SW Corner of Allegany County,placeName,"Chennesee Village, Ghenesee Village, Little Genesee",,42.026918,78.206005,,,
genes1,Genesinguhta,,New York,,placeName,Old Town,,42.06137,78.387945,,,
genev,Geneva,,New York,,placeName,,,42.868,76.9856,,,
geort2,Georgetown,,Connecticut,,,,,,,,,
geort,Georgetown,,Maryland,,placeName,George Town,,,,,,
georg,Georgia,,Georgia,,placeName,,,,,,,
gefla,German Flats,,New York,,placeName,German Flatts,,42.9778,74.9793,,,
gerfl,German Flatts,,New York,,placeName,Fort Herkimer,,,,,,
germa,Germantown,,Pennsylvania,,placeName,,,40.0417,75.1796,,,
germ,Germany,,,,,,,,,,,
ghent,Ghent,,,,,,,,,,,
girtyt,Girty's town,,,,,,,,,,,
glasg,Glasgow,,,,,,,,,,,
glouc,Gloucester,,New Jersey,,placeName,,,39.792186,75.036059,,,
glouc1,Gloucester,,England,,,,,,,,,
gloup,Gloucester Point,,,,geogName,,,,,,,
golan,Golane,,,,,,,,,,,
goosec,Goose Creek settlement,,,,placeName,,,,,,,
goshe,Goshen,,New York,County seat of Orange County,placeName,,,41.402038,74.324319,,,
goshe1,Goshen,,Connecticut,,placeName,,,41.831519,73.224895,,,
goshe2,Goshen,,Pennsylvania,,placeName,,,,,,,
gover,Governors Island,,New York,,placeName,,,,,,,
grandp,Grand Portage,,Minnesota,Historical fur trade outpost and road,placeName,,,47.963776,89.684812,,,
grand,Grand River,,,"There are Grand Rivers in Ontario, Ottawa, OH, WI and MI",geogName,,,,,,,
gbrit,Great Britain,,,,,,,,,,,
gcacar,Great Cacapon River,,,,geogName,Capon,,,,,,
gmead,Great Meadows,,,"""upon the Alleghany Mountains""",placeName,,,,,,,
gmiam,Great Miami River,,Ohio,,geogName,,,,,,,
sodus,Great Sodus River,,Michigan,cohoc,geogName,Sodus Creek,,43.141963,78.865727,,,
greeb,Green Bay,,Michigan,,geogName,"Puans Bay, Baie des Puants ",,,,,,
ghalls,Green Halls,,,,,,,,,,,
greem,Green Mountains,,,,geogName,,,,,,,
green,Greenkill (Mills),,New York,"Operated by Colonel Charles De Witt, at one point a resort of promitent men--became a tavern after the Colonel's death, operated by his son",placeName,,,41.441182,74.66669,,,
greent,Greentown,,,,,Greens-town,,,,,,
greenv,Greenville,,,,,"formerly Grenville, Greeneville",,,,,,
greew,Greenwich,,New Jersey,,placeName,,,39.820084,75.261867,,,
gisle,Grosse Ile,,Michigan,,placeName,"Grosse Isle, La Grosse-Île, Grosseel, Groes Isle",,47.02,70.67,,,
gross,Grosse Pointe,,Michigan,,geogName,Gross Point,,,,,,
gunpo,Gunpowder Falls,,Maryland?,,,,,,,,,
gwyne,Gwynedd,Montgomery,Pennsylvania,,,,,,,,,
hacke,Hackettstown,,New Jersey,,placeName,Hacketstown,,40.853988,74.829055,,,
hacki,Hackinsack river,,,,,,,,,,,
hackn,Hackney,,England,Middlesex,placeName,,,,,,,
haddo,Haddonfield,,New Jersey,,placeName,,,39.891502,75.037671,,,
haiti,Haiti,,,,placeName,Hayti,,,,,,
halif,Halifax,,North Carolina,,placeName,Hallifax,,36.328486,77.58942,,,
halif2,Halifax,,Nova Scotia,,,,,,,,,
hambu,Hamburgh,,Pennsylvania,,placeName,Hamburg,,40.55565,75.981877,,,
hamil,Hamilton,,Ohio?,,,,,,,,,
hamil2,Hamilton,,Ontario,,placeName,,,,,,,
hanov,Hanover,,Maryland?,,,,,,,,,
harle,Harlem,,New York,,placeName,Haerlem,,,,,,
harrisb,Harrisburgh,,Pennsylvania,,placeName,Harrisburg,,40.273191,76.886701,,,
hartf,Hartford,,Connecticut,,placeName,,,41.763711,72.685093,,,
hartf2,Hartford,,,,,,,,,,,
haver,Haverford,,Pennsylvania,,,,,,,,,
havre,Havre-de-Grace,,Maryland,,,,,,,,,
heado,Head of Elk,,Maryland,,placeName,,,,,,,
hecto,Hector township,,,near Lake Seneca,placeName,,,,,,,
helle,Heller's Tavern,,Pennsylvania,Near Wind Gap. Northampton County,placeName,,,,,,,
heml,Hemlock lake,,,,,,,,,,,
herki,Herkimer,,New York,not the same as Ft. Herkimer which is located at German Flatts; the town of Herkimer was near Ft. Dayton,placeName,"Hackamack, Hercomer",,43.025626,74.985989,,,
heviv,Heviland Valley,,,,,,,,,,,
hicko,Hickorytown,,Pennsylvania?,,placeName,,,,,,,
hills,Hillsborough County,,New Hampshire,,placeName,,,,,,,
hockhr,Hockhocking River,,,,,,,,,,,
hogis,Hog Island,,Michigan,,placeName,,,,,,,
holkh,Holkham,,England,,,,,,,,,
holla,Holland,,,,,,,,,,,
holland,Holland Purchase,,,,,,,,,,,
holst,Holston River,,,,geogName,Holstein River,,,,,,
holyh,Holyhead ,,England,,,,,,,,,
honeyc,Honey Creek,,,Stream of the Great Miami,,,,,,,,
honeyl,Honey Lake,,,,,,,,,,,
hoosi,Hoosick,,New York,,placeName,"[East] Husack, Hoosack",,42.861137,73.328689,,,
hopw,Hopewell,,Virginia,,placeName,,,37.2904,77.3034,,,
horsv,Horse Valley,,Pennsylvania,,geogName,,,,,,,
hofer,Howels Ferry,,New Jersey,,placeName,,,40.4054,74.9742,,,
huds,Hudson,,New York,,placeName,,,42.252865,73.790959,,,
hudsc,Hudson Canal,,,,geogName,,,,,,,
hudsr,Hudson River,,New York,"315 miles long from Henderson Lake, NY (44.091954, -74.058537) to the Upper New York Bay in Lower Manhattan",geogName,"Hudson's River, North River",,41.18961,73.924225,,,
ileau,Ile aux Noix,,Canada,,geogName,Isle aux Noix,,47.090901,72.922895,,,
illinois,Illinois,,,,,,,,,,,
illin,Illinois River,,Illinois,,geogName,,,,,,,
india,Indian Line,,,,,,,,,,,
indiana,Indiana,,,,,,,,,,,
iowa,Iowa Territory/State,,,,,,,,,,,
ipswi,Ipswich,,,,placeName,,,,,,,
irel,Ireland,,,,,,,,,,,
issua,Issua,,,,geogName,,,,,,,
italy,Italy,,,,,,,,,,,
jacks,Jack's Swamp,,North Carolina,"Flows from Northampton Co (NC) and becomes Fountain's Creek in VA. Site of a Quaker Meeting House. South of Pleasant Hill, NC.",geogName,"Jackswamp, Fountain's Creek",,36.509498,77.54998,,,
jamer,James river,,,,,,,,,,,
jtown,James Town,,North Carolina,,,,,,,,,
jtown1,Jamestown,,,,,,,,,,,
jenuch,Jenuchshadega,Warren,Pennsylvania,"Seneca village on the Allegheny opposite the present town of Gawango, Warren County. The name is a corruption of the Seneca ""Dionosadage"", meaning ""the place of burnt houses"".",,,,,,,,
jeric,Jericho,,New York,,,,,,,,,
jerom,Jerome's-town,,,,,,,,,,,
jersm,Jersey Mountains,,,,geogName,,,,,,,
jshor,Jersey shore,,,,geogName,,,,,,,
jtown2,Jersey town,,,"now called Jersey Shore, a small town near Williamsport, PA",,,,,,,,
jerse,Jerseys,,New Jersey,,placeName,,,,,,,
jerus,Jerusalem,,New York,,placeName,,,42.626429,77.171523,,,
joland,Johnson's Landing,Niagara County,New York,near Buffalo Creek in NY,,,,,,,,
johns,Johnstown,Montgomery,New York,,placeName,John's Town,,43.0067,74.3676,,,
jonac,Jonathan's Creek,,,,,,,,,,,
junia,Juniata River,,Pennsylvania,"104 miles long from Petersburg, PA (40.3339, -78.0406) to Susquehanna River in Duncannon, PA",geogName,,,40.477835,77.072439,,,
kaoun,Ka-oun-o-de-o,,,,,,,,,,,
kaate,Kaaterskill Falls,,New York,,geogName,,,42.193234,74.063044,,,
kams,kamschatka,,,,,,,,,,,
kanan,Kanandargua,,,,,,,,,,,
kansas,Kansas,,,,,,,,,,,
kansar,Kansas River,,,,,,,,,,,
kaukau,Kaukauna,,Wisconsin,,,,,,,,,
kendai,Kendaia,,New York,Seneca/Cayuga village of Kendaia (Apple Town),placeName,,,,,,,
kentu,Kentucky,,Kentucky,,placeName,,,,,,,
kentr,Kentucky River,,,,,,,,,,,
kerse,Kerseymere,,,,,,,,,,,
killa,Killakanik,,,,,,,,,,,
kinde,Kinderhook,,,,placeName,,,,,,,
kindc,Kinderhook Creek,,,,geogName,,,,,,,
kisto,Kings Stores,,,9 miles from Ft. Niagara,,,,,,,,
kings,Kingston,,,"There are towns named Kingston in PA (41.16, -75.53) NJ (40.387103, -74.6152) and other states/ Canada as well",placeName,,,,,,,
kingw,Kingwood,,New Jersey,,placeName,,,40.5667,74.9424,,,
kinzu,Kinzua,,Pennsylvania,,placeName,,,41.821702,79.107163,,,
kittam,Kittatinny Mountains,,,,,,,,,,,
kitcr,Kittle Creek,,West Virginia,,geogName,,,38.736695,80.039821,,,
kline,Kline Kill,,New York,,geogName,,,42.346389,73.626766,,,
lagra,La Grande River,,Canada,,geogName,La Grande Riviere,,,,,,
lachi,Lachine,,Canada,,placeName,,,45.431667,73.675,,,
laden,Ladenburg,,Pennsylvania,"near Catawissa, PA",,,,,,,,
lakeca,Lake Canandarque,,,,,,,,,,,
lakec,Lake Champlain,,NY/VT,,geogName,,,44.586581,73.38009,,,
lakee,Lake Erie,,,,geogName,,,42.066885,81.339941,,,
lakeh,Lake Huron,,,,geogName,,,45.052237,82.484612,,,
lakem,Lake Michigan,,,,geogName,,,43.4501,87.222019,,,
lakeo,Lake Ontario,,,,,,,43.644026,77.904053,,,
lakeow,Lake Owasco,,,,,,,,,,,
lakesa,Lake Saratoga,,,,,,,,,,,
lakesc,Lake Schaneatetes,,,,,,,,,,,
lakese,Lake Seneca,,,,,,,,,,,
simcol,Lake Simcoe,,,,,,,,,,,
sincll,Lake Sinclair,,,"Only Lake Sinclair is in Georgia, Name could be confused for a Lake St. Clair elsewhere.",geogName,,,,,,,
lakst,Lake St. Clair,,,,geogName,,,42.43565,82.691543,,,
laksf,Lake St. Francis,,,,geogName,,,45.839739,77.646682,,,
lakes,Lake Superior,,,,geogName,,,47.723087,86.940716,,,
lambe,Lamberton,,New Jersey,"Port community on Delaware River, now considered part of Trenton",placeName,,,40.208532,74.763433,,,
lanca,Lancaster,,Pennsylvania,,placeName,,,40.037875,76.305514,,,
lansi,Lansingburgh,,New York,,placeName,,,42.784522,73.669562,,,
larcr,Larrie's Creek,,Pennsylvania,23 miles long in Lycoming County,geogName,,,41.32499,77.189813,,,
laure,Laurel Hill,,Pennsylvania,,geogName,,,40.093832,79.95266,,,
laucr,Laurel Hill Creek,,,38 miles long in Somerset County.,geogName,,,39.909193,79.296119,,,
leadm,Leadman's inn,,New York,17 miles east of Albany,placeName,,,,,,,
ledin,Ledingburg's,,,Dutch tavern,placeName,,,,,,,
leec,Lee's Creek,,,,,,,,,,,
lehig,Lehigh River,,Pennsylvania,,,,,,,,,
leice,Leicester,,England,,,,,,,,,
leray,Leray,,,,placeName,,,,,,,
lewis,Lewistown,,Pennsylvania,,placeName,,,,,,,
lickc,Licking Creek,,,,,,,,,,,
linds,Lindsley's,,,tavern,placeName,,,,,,,
lcacm,Little Cacapon Mountain,,,,geogName,Capon,,,,,,
lcacr,Little Cacapon river,,,,geogName,Capon,,,,,,
lcone,Little Conestoga Creek,,Pennsylvania,,geogName,Little Connostoga,,40.048453,76.343424,,,
lconn,Little Connestoga Valley,,Pennsylvania,,,,,40.061765,76.25804,,,
lcross,Little Crossings,,,Branch of Youghiogheny river,geogName,,,,,,,
lfall,Little Falls,,New York,,placeName,,,,,,,
lfish,Little Fishing Creek,,Pennsylvania,,geogName,,,40.893362,77.653695,,,
llake,Little Lake,,,,,,,,,,,
littlemr,Little Miami River,,,,,,,,,,,
lmoun,Little Mountain,,Pennsylvania,,geogName,,,41.071368,77.055101,,,
lnine,Little Nine Partners,,New York,,placeName,,,41.979814,73.65596,,,
little,Little River,,North Carolina,Pasquotank County,geogName,,,36.199923,76.458149,,,
lschr,Little Schuykill,Schuykill County,Pennsylvania,,,,,,,,,
lsodu,Little Sodus,,New York,,placeName,,,,,,,
lturtown,Little Turtle's Town,,Indiana,"""about 18 miles north of Dennis' Station"", Turtletown?",,,,,,,,
lvall,Little Valley,,,,geogName,,,,,,,
lyork,Little York,,New Jersey,There is also a Little York in Ohio.,,,,40.611093,75.076605,,,
liver,Liverpool,,England,,geogName,,,,,,,
locum,Locust Mountain,Schuykill County,Pennsylvania,,,,,,,,,
loiqc,Loiquoit Creek,,,,,,,,,,,
lond,London,,cc,,,,,,,,,
londg,London Grove,Chester,Pennsylvania,,,,,,,,,
longi,Long Island,,New York,,placeName,,,40.789142,73.13496,,,
longp,Long Point,,New York,,placeName,,,,,,,
lorac,Loramier's Creek,,,,geogName,,,,,,,
lostc,Lost Creek,,,Stream of the Great Miami,,,,,,,,
louis,Louisiana,,Louisiana,,placeName,,,,,,,
loyal,Loyalsock,,Pennsylvania,,placeName,,,41.251115,76.972031,,,
loyac,Loyalsock Creek,,Pennsylvania,,geogName,,,41.465251,76.241971,,,
ludl,Ludlow,,,,placeName,,,,,,,
lycom,Lycoming,,Pennsylvania,37 miles long from McNett Township to Williamsport,geogname,Lycoming Creek,,41.245603,77.047108,,,
lycom1,Lycoming County,,Pennsylvania,,placeName,,,41.35,77.06,,,
lycom3,Lycoming Creek ,,,,,,,,,,,
lymin,Lymington,,England,,,,,,,,,
lynn,Lynn,,,,placeName,,,,,,,
machi,Machias,,Maine,,placeName,,,44.715079,67.461376,,,
mackr,Mackinac River,,Michigan,,geogName,"Mackinoy, McInoi",,,,,,
macki,Mackinaw,,,,,,,,,,,
mackin,Mackinoy,,,,,,,,,,,
madr,Mad River,,Ohio,Part of Miami,geogName,,,,,,,
madco,Madison County,,,,,,,,,,,
magua,Maguaga,,,,,,,,,,,
mahac,Mahanoy Creek,,Pennsylvania,52 miles long from Mahanoy Township to Jackson Township,geogName,Mahony Creek,,40.725779,76.794004,,,
mahan,Mahanoy Mountain,,Pennsylvania,,geogName,Mahony Mountain,,4.777389,76.445704,,,
mahat,Mahantongo Creek,,Pennsylvania,36 miles long from Dauphin to Millersburg,geogName,,,40.643722,76.782975,,,
mahmo,Mahantongo Mountain,,Pennsylvania,,geogName,Magantango mountain,,40.629,76.813859,,,
maide,Maiden Creek,,Pennsylvania,,placeName,,,40.43937,75.927544,,,
maine,Maine,,Maine,,placeName,,,,,,,
makef,Makefield,,Pennsylvania,,placeName,,,40.212007,74.821867,,,
mald,Malden,,,,,,,,,,,
mamar,Mamaroneck,,New York,,placeName,Marmaronik,,,,,,
mana,Manatawny ,Montgomery County,Pennsylvania,this refers to the Manatawny toll bridge.,,,,,,,,
manac,Manatawny Creek,Montgomery County,Pennsylvania,joins the Schuykill River at this place,,,,,,,,
manam,Manatawny Mountains,Montgomery County?,Pennsylvania,,,,,,,,,
manc,Manchester,,Vermont,,,,,,,,,
manch,Manchester,,England,,placeName,,,,,,,
manch1,Manchester,,Virginia?,near Richmond,,,,,,,,
mancr,Mango Creek,,,,geogName,,,,,,,
manvi,Manhattan-ville,,,,placeName,,,,,,,
marlb,Marlborough,,New York,,placeName,New-malborough,,41.6055,73.9723,,,
maryl,Maryland,,Maryland,,placeName,,,,,,,
mason,Mason's Island,,,near Georgetown,,,,,,,,
mass,Massachusetts ,,,,placeName,,,,,,,
mattr,Mattaponi River,,,,,Mattapony,,,,,,
maume,Maumee Bay,,Ohio,,geogName,Miami Bay,,,,,,
mauri,Maurice River,,New Jersey,,geogName,Morris River,,,,,,
maxa,Maxatawny,Berks County,Pennsylvania,,,,,,,,,
menal,Menallen,,Pennsylvania,,,Monallen,,,,,,
merio,Merion,,Pennsylvania?,,,,,,,,,
merri,Merrimack County,,New Hampshire,,placeName,Merimack,,,,,,
miamr1,Miami rapids,,Ohio,,geogName,,,41.1715,84.2125,,,
miamr,Miami River,,New York,,geogName,,,43.588643,74.489684,,,
miamr,Miami River,,Ohio,,geogName,"Great Miami River, Big Miami, Miami of the Lake",,39.730954,87.219282,,,
mifer,Michel's Ferry,,,,,,,,,,,
michi1,Michigan,,,,,,,,,,,
michi,Michilimackinac,,Michigan,,placeName,"Michillamackanac, Mackinac, Mackinaw, Mackinoy, McInoi, Michillimackanack",,45.786676,84.733656,,,
midbi,Middle Bass Island,,,,,,,,,,,
middi,Middle Island,,,,,,,,,,,
midsi,Middle Sister Island,,,,,,,,,,,
midse,Middlesex,,England,,,,,,,,,
midco,Middlesex County,,Connecticut,,placeName,,,,,,,
middl,Middletown,,Pennsylvania,,placeName,,,40.199814,76.731081,,,
milee,Mile-end,,England,,,,,,,,,
milfh,Milford Haven,,England,,placeName,,,,,,,
mille,Miller's Tavern,,Pennsylvania,near Cattawessy,placeName,,,,,,,
milto,Milton,,Pennsylvania,,placeName,,,41.01203,76.847741,,,
mingot,Mingo Town,,,,,,,,,,,
missi1,Mississinaway,,,,,,,,,,,
misss,Mississippi (State),,Mississippi,,placeName,,,,,,,
missi,Mississippi River,,,,geogName,,,,,,,
missouri,Missouri,,,,,,,,,,,
misso,Missouri River,,,,geogName,,,,,,,
mobil,Mobile River,,Alabama,,geogName,,,,,,,
mogua,Moguago,,,Wyandot village? Michigan?,,,,,,,,
mohaw,Mohawk River,,New York,"149 miles long from Ava, Oneida County to Hudson River",geogname,"Mohocks River, Mohock River",,42.954287,74.231358,,,
mohva,Mohawk Valley,,New York,,,,,,,,,
mohjo,Mohicken John,,Ohio,,geogname,,,,,,,
mojl,Mohickon-John's Lake,,,,,Mohicken,,,,,,
monal,Monallen,Adams County,Pennsylvania,,placeName,,,,,,,
mongu,Monguagon,,Michigan,,placeName,Mogogam,,,,,,
monmo,Monmouth,,New Jersey,,,,,,,,,
monmo1,Monmouth County,,New Jersey,,placeName,,,40.29,74.15,,,
monong,Monongahela,,,,,,,,,,,
monon,Monongahela River,,Pennsylvania,"130 miles long, Runs from Tygart Valley River to Pittsburgh, PA.",geogName,,,39.953714,79.994451,,,
montauk,Montauk,,New York,,,,,,,,,
monte,Montezuma Marshes,,New York,,geogName,Cayuga marshes,,,,,,
montg,Montgomery County,,Maryland,,,,,,,,,
montr,Montreal,,Canada,,placeName,,,45.501689,73.567256,,,
moore,Moorestown,,New Jersey,,placeName,,,39.968882,74.948886,,,
moray,Moray,,Scotland,,,,,,,,,
morea,Moreau,,,General,,,,,,,,
morrist,Morris,Tioga County,Pennsylvania,,,,,,,,,
mount,Mount Holly,,Vermont,,placeName,,,43.447469,72.825638,,,
mount1,Mount Holly,,New Jersey,,placeName,,,39.993144,74.787939,,,
mtver,Mount Vernon,,Virginia?,,,,,,,,,
mtple,Mt. Pleasant,,,,,,,,,,,
,Mud Creek,,New York,,placeName,Farmington,,,,,,
mudla,Mud Lake,,,,geogName,,,,,,,
mudcr,Mudd Creek,,New York,,geogName,"Mud Creek, Ganargua Creek",,42.9825,77.4089,,,
muncy,Muncy,,Pennsylvania,,placeName,Munsey,,41.2019,76.7864,,,
muncr,Muncy Creek,,Pennsylvania,36 miles long. Runs from Laporte Township to Muncy Creek Township,geogName,Munsy Creek,,41.380895,76.421493,,,
munmo,Muncy Mountain,Lycoming County,Pennsylvania,"the mountains span several counties, but based on context, Lycoming is most probable",,,,,,,,
munva,Muncy Valley,,Pennsylvania,,placeName,,,41.34258,76.585228,,,
murder,Murder Creek,Niagara County,New York,now Erie County,,,,,,,,
musco,Musconetcong River,,New York,"46 miles long. Runs from Lake Hopatcong to Riegelsville, PA.",geogName,"Musconecunch Creek, Muskenecunk",,40.918641,74.729701,,,
muski,Muskingum,,Ohio,,placeName,,,40.054362,82.018915,,,
muskr,Muskingum River,,Ohio,"111 miles long. Runs from Coshocton to Ohio River in Marietta, OH.",geogName,,,39.2433,81.2722,,,
musta,Musselman's Tavern,,New York,,placeName,,,,,,,
naple,Naples,,Italy,,,,,,,,,
narra,Narragansett,,Rhode Island,,,Narraganset,,41.27,71.2658,,,
nashv,Nashville,,,,placeName,,,,,,,
nav,Navy Hall,,Canada,,placeName,,,43.252,79.059134,,,
negm,Negro Mountain,,,,geogName,,,,,,,
neosho,Neosho River,,,,,,,,,,,
never,Neversink Mountains,,,,,,,,,,,
newbd,New Bedford,,Massachusetts,,placeName,,,,,,,
newbr1,New Britain,,New York,"Hamlet of New Lebanon, main home of the Quakers",placeName,,,42.467707,73.481409,,,
newbr,New Brunswick,,Canada,,placeName,,,46,66,,,
newbr2,New Brunswick,,New Jersey,,placeName,,,,,,,
newcas,New Castle,,,,,Newcastle,,,,,,
newco,New Concord,,,,placeName,,,,,,,
newga,New Garden,Chester,Pennsylvania,,placeName,,1793,,,,,
nhamp,New Hampshire,,,,placeName,New Hampshier,,,,,,
newha,New Hartford,Oneida,New York,,placeName,,,43.073403,75.287666,,,
newhv,New Haven,,Connecticut,,placeName,,,,,,,
newje,New Jersey,,,,placeName,,,,,,,
newlan,New Lancaster,,,,,,,,,,,
newlon,New London,,? PA? CT?,,,,,,,,,
newmi,New Milford,,New Jersey,,placeName,,,40.935099,74.19028,,,
newor,New Orleans,,Louisiana,,placeName,,,29.951066,90.071532,,,
newst,New Stockbridge,,,"""The town of New Stockbridge, originally called ""Tuscarora"" or ""Old Oneida"" by whites and ""Ah-gote-sa-ga-nage"" by the Oneidas (meaning unknown), is situated in present-day Madison County on what was once part of the extensive Oneida reservation. By 1785 the majority of the Stockbridge tribe, numbering about 280, had made the move and settled in the northeastern part of the town near Vernon, New York.""  (http://www.mohican.com/historypart1/)",,,,,,,,
nwind,New Windsor,,New York,,placeName,New Winser,,41.4767,74.0238,,,
newyo,New York,,New York,,placeName,,,40.712784,74.00594,,,
nycit,New York City,,New York,,placeName,,,40.71278,74.00594,,,
newyh,New York Hospital,,New York,,placeName,,,,,,,
newar,Newark,,,across the river from Ft. Niagara,placeName,,,,,,,
newbe,Newbegun Creek,,North Carolina,,placeName,,,36.216,76.174676,,,
newbe1,Newberry,,,,placeName,,,,,,,
newbu,Newburgh,,New York,,placeName,,,41.503427,74.010418,,,
newbu,Newbury,,,,placeName,,,,,,,
newga,Newgate,,England,,,,,,,,,
newli,Newlin,,,,,,,,,,,
newpo,Newport,,Rhode Island,,placeName,,,,,,,
newto,Newton,,New Jersey,,placeName,Newtown,,41.058153,74.752665,,,
newto2,Newtown,,New York,,placeName,Newtown point,,41.414112,73.303566,,,
niaga,Niagara,,New York,,placeName,,,43.31195,78.747621,,,
niagf,Niagara Falls,,NY/Canada,,geogname,great Falls,,43.078943,79.076446,,,
niafo,Niagara Fort,,New York,,placeName,Fort Niagara,,43.262394,79.063078,,,
niagp,Niagara Penninsula,,Canada,Use for 1793 journals where visiting families who lived in an area which was later constituted as Black Creek Preparative Meeting; later towns of Ridgeway and Point Abino?,geogName,,,,,,,
niagr,Niagara River,,NY/Canada,,geogname,,,43.078943,79.076446,,,
9mile,Nine Mile Creek,,New York,"Source: Otisco Lake. Runs through Marcellus, NY and Camillus, NY to Onondaga Lake in Geddes, NY",geogname,ninemile Creek,,43.08911,76.22952,,,
9part1,Nine Partners,,New York,,placeName,,,41.775868,73.687534,,,
9part,Nine Partners School,,New York,Founded in 1795 by the Nine Partners Monthly Meeting of Friends,placeName,MERGE into orgName for school: ninepsch,,41.78509,73.69402,,,
nolan,Noland's Ferry,,Maryland,Crosses the Potomac,,,,,,,,
norfo,Norfolk,,England,,,,,,,,,
norrist,Norristown,,,,,,,,,,,
norbm,North Branch Mountain,,,,geogname,,,,,,,
ncaro,North Carolina,,North Carolina,,placeName,,,,,,,
ncaro,North Carolina,,North Carolina,,,,,,,,,
norm,North Mountains,,,,geogname,,,,,,,
nrive,North River,,New York,Former name for southern part of Hudson River between New York City and New Jersey.,geogname,,,41.124884,73.88855,,,
north1,Northumberland,,Pennsylvania,,placeName,Northumberland Town,,40.5338,76.4746,,,
north,Northumberland County,,Pennsylvania,,placeName,,,40.85,76.71,,,
northw,Northwest Terroritory,,,,,,,,,,,
norw,Norwich,,,,,,,,,,,
notth,Nottingham,,,,,,,,,,,
novas,Nova Scotia,,Canada,,placeName,,,45,63,,,
oakor,Oak Orchard Harbor,,New York,,placeName,,,,,,,
oblon,Oblong,,New York,,placeName,,,41.09,73.46,,,
ocone,Oconee River,,,,geogname,Ocomic River?,,,,,,
ohio,Ohio         ,,Ohio,,,,,,,,,
ohior,Ohio River,,,"981 Miles long from Pittsburgh, PA to Cairo, IL",geogname,River Ohio,,,,,,
oilcr,Oil Creek,,Pennsylvania,"47 Miles long from Canadohta Lake, PA to Oil City, PA",geogname,Oyl Creek,,41.7365,41.4411353,,,
oklah,Oklahoma,,,,placeName,,,,,,,
ofsch,Old Fort Schuyler,,New York,,placeName,"Utica, Old Fort Schyler",,43.0999,75.216,,,
olea,Olean,Cattaraugus County,New York,"text refers to Olean Creek, but there is also a town founded by ahoop1",,,,,,,,
oleyh,Oley Hill,Berks County,Pennsylvania,,,,,,,,,
oneid,Oneida,,New York,,placeName,,,43.0926,75.6513,,,
oneic,Oneida Castle,,New York,,placeName,,,43.0926,75.6513,,,
onecr,Oneida Creek,,New York,,geogname,,,43.164434,75.73742,,,
oneil,Oneida Lake,,New York,,geogname,,,43.2012,75.91553,,,
oneir,Oneida River,,New York,,geogName,,,,,,,
oneidss,Oneida South Settlement,,,,,,,,,,,
onond,Onondaga,,New York,,placeName,,,42.960215,76.2389,,,
ononc,Onondaga Castle,,,,,,,,,,,
onoco,Onondaga County,,New York,,placeName,,,43.01,76.2,,,
onocr,Onondaga Creek,,New York,"27 Miles long from Vesper, NY to Onondaga Lake, NY",geogName,,,41.815,76.16387,,,
ononl,Onondaga Lake,,New York,,geogName,,,,,,,
onori,Onondaga River,,New York,,geogName,Onondago,,,,,,
onoss,Onondaga Salt Springs Reservation,,New York,Land around the Onondaga Lake transferred from Onondaga Nation to salt producers to use to produce salt for everyone,placeName,Onadaga [sic] Salt Works,,43.0976,76.1954,,,
ontar,Ontario,,Canada,,placeName,,,,,,,
ontar1,Ontario County,,New York,,placeName,,,,,,,
opekr,Opekon River,,,,geogName,,,,,,,
orang,Orange County,,New York,,placeName,,,41.4,74.3118,,,
osway,Oswayo Creek,,Pennsylvania,,geogName,Oswago Creek,,41.96468,78.1773,,,
osweg1,Oswegatchie,,New York,,placeName,Oswegatche,,44.18284,75.0702,,,
osweg2,Oswego,,New York,,placeName,,,,,,,
oswef,Oswego Falls,,New York,,geogName,,,43.32616,76.42047,,,
oswft,Oswego Fort,,New York,,placeName,Oswego garrison,,43.46588,76.508194,,,
osweg,Oswego Meeting House,,new York,Located in Moore's Mill NY,placeName,Swago,,41.70286,73.7289,,,
osweo,Osweo,,,,geogName,,,,,,,
otego,Otego,,New York,,placeName,Ottego,,42.397302,75.173502,,,
otseg,Otsego Lake,,New York,,geogName,,,,,,,
ottar,Ottawa River,,Quebec/Ontario,"790 Miles Long from Lake Capimitchigama, Quebec to St. Lawrence River, Quebec",geogName,,,45.4619,75.67636,,,
otterc,Otter Creek,,,,,,,,,,,
ottow,Ottoway,,New York,"There is also an Ottoway, VA.",geogName,Ottaway,,42.75025,74.86,,,
ottor,Ottoway River,,,,,,,,,,,
owasc,Owasco Lake,,New York,,geogName,,,42.8279,76.51154,,,
owego,Owego Creek,,New York,,geogname,,,42.16787,76.251876,,,
oxfor,Oxford,,England,,,,,,,,,
oyong,Oyongwongyeh Creek,,,,geogname,Oyonwayer,,,,,,
paintc,Paint Creek,,Ohio,,,,,,,,,
ppost,Painted Post,,New York,,placeName,,,42.162,77.0941,,,
paris,Paris,,New York,,,,,,,,,
paris2,Paris,,France,,placeName,,,,,,,
pasqu,Pasquotank County,,North Carolina,,placeName,,,36.29271,76.3174,,,
pasqr,Pasquotank River,,North Carolina,,placeName,,,36.273895,76.14109,,,
passaic,Passaic River,,New Jersey,,geogName,,,,,,,
passa,Passamaquoddy Bay,,Canada,,geogname,,,45.096791,66.982956,,,
patapr,Patapsco River,,,,,Potapsco,,,,,,
pathv,Path Valley,,Pennsylvania,,geogName,,,40.0916,77.80775,,,
